Author,Comment Posted,Content,Like
legendary351,1 week ago,What a legend he is. Glad it was on my era,60
redghettosun,1 week ago,"The Last of the True Greats. You can't make up a story like Manny Pacquiao. Rocky didn't even come close unless you set it in the third world. The sport of Boxing and the fans were lucky to have had him for so long. In a way, his story is just probably beginning. GOAT.",32
Hassan Abykhres,1 week ago,I’m glad I witnessed such a talent in my years of living.. My Deepest thank you Manny Pacquiao 😢,13
Mansoor,1 week ago,"Mannys been a pro boxer for a very long time. I checked boxer rec and was like damn, he’s been pro since Biggie and 2Pac were alive. So manny incredible achievements in and out of the ring. He’s been brutally stopped once and been in so many wars and his mind seems sharper now than what it was when he first started when most fighters would’ve been a lil punchy, but he could be the Philippines next president. Pacman is a real life super hero; what an amazing true story.",11
Renz Caringal,1 week ago,"Nov. 15, 2003 when I first watched Manny vs Barrera I was only 7 years old since that day I fell inlove in boxing up todate. Thankyou the Greatest of all time",16
JUNIOR💯,1 week ago,Thanks for everything manny a true legend 💯💯,10
Max payne,1 week ago,Never thought I'll see the day... Respect to Manny Pacquiao!!! 💯,12
Jonathan Negrido,1 week ago,"End Of An ERA.  #RESPECT
He Was The Last ELITE Fighter!!!
Thank You For Making Us PROUD TO BE A FILIPINO...
Now we enter the generation of exhibition fights, youtube fighters, duckers and social media warriors.",5
Adrian Magadia,1 week ago,"One of the best to ever lace up the gloves. Won't find another like him in a long time 👏 
#ThankyouPacman
#ThePeoplesChamp",2
JDub,1 week ago,"From a mayweather fan, thank you for being great. I’ve endure many arguements about your legacy but you are a real champion",5
Daniel Smith,1 week ago,Pacquiao had one of the truly great career the first and most likely the last eight division champion and he always came to fight. a first ballot hof he leaves behind a great legacy and many great fights I will miss him but now is the right time I wish him look in his future.,5
Carlo Cometa,1 week ago,"We will miss you Manny, thank you for the memories Champ. GOAT",1
MR IV,1 week ago,manny is also the most polite boxer,6
Angelo Caz,1 week ago,"We are proud of you Manny
#RoleModel",15
A.k.a Downz,1 week ago,Im 26 first fight i saw of pacman was with De la hoya after that day I been a big fan of manny. Never missed a fight since then. He will be missed. On of a kind legend,8
Ironfist514baka,1 week ago,"A wise decision that rematch wouldn't have been good for him. 
What a Amazing Career Manny Paquiao is without a doubt a GOAT.
So Glad to have witness such a unique talent and Prowess in my living .",14
Red Orange Green,1 week ago,"The Philippines have 4 different major Holidays.
1. Christmas
2. Holyweek
3. Holloween",3
money mitch,1 week ago,Thanks for the great memories you’re a legend 🥲,6
Hann Gifford,1 week ago,"We witnessed a true legend. Hundreds of years from now, people will only be able to speculate the magnitude that Manny created.",1
